,Team,Elo,lastID
0,Gambit,1807,2348011
1,FURIA,1641,2348010
2,G2,1601,2348011
3,forZe,1525,2348365
4,Sprout,1548,2348365
5,Spirit,1530,2348253
6,Astralis,1463,2348009
7,Vitality,1550,2348006
8,Virtus.pro,1563,2348005
9,Complexity,1486,2348004
10,BIG,1513,2348003
11,mousesports,1561,2348336
12,Natus Vincere,1684,2348010
13,HAVU,1430,2348333
14,FaZe,1563,2347996
15,Dignitas,1484,2348331
16,Movistar Riders,1403,2348169
17,FunPlus Phoenix,1601,2348172
18,Endpoint,1398,2348496
19,Evil Geniuses,1539,2347939
20,Heroic,1688,2348008
21,OG,1618,2348171
22,ENCE,1479,2347703
23,Liquid,1625,2347742
24,fnatic,1359,2347585
25,Copenhagen Flames,1440,2347722
26,SAW,1398,2347746
27,NIP,1526,2347027
28,GODSENT,1451,2347477
29,LDLC,1459,2347429
30,Cloud9,1443,2346945
31,MIBR,1461,2347745
32,Winstrike,1486,2347371
33,Nemiga,1312,2346891
34,Renegades,1586,2346917
35,HellRaisers,1485,2346291
36,Chaos,1500,2345642
37,MAD Lions,1393,2345572
38,ALTERNATE aTTaX,1503,2345671
39,Gen.G,1501,2345305
40,North,1495,2345610
41,Illuminar,1403,2345552
42,GamerLegion,1423,2345061
43,100 Thieves,1532,2344450
44,Heretics,1416,2344221
45,Gambit Youngsters,1575,2343928
46,Singularity,1374,2344666
47,Envy,1583,2345565
48,AGO,1468,2348328
49,pro100,1535,2340912
50,CR4ZY,1594,2339028
51,TYLOO,1324,2340412
52,Tricked,1536,2338037
53,AVANGAR,1322,2337789
54,Grayhound,1511,2337387
55,eUnited,1407,2338929
56,Imperial,1486,2337114
57,OpTic,1368,2336709
58,NRG,1548,2336202
59,Chiefs,1413,2337387
60,Windigo,1409,2336724
61,Luminosity,1473,2334860
62,Valiance,1641,2334114
63,Epsilon,1447,2334934
64,Ghost,1596,2333376
65,Vega Squadron,1382,2330824
66,Red Reserve,1590,2330704
