MatchID,Team1,Team2,Team1_before,Team2_before
2298365,SK,Envy,1500,1500
2298366,SK,Dignitas,1468,1500
2298367,Dignitas,Envy,1500,1532
2298372,Cloud9,Luminosity,1500,1500
2298335,Virtus.pro,Liquid,1500,1500
2298336,fnatic,TSM,1500,1500
2298387,E-frag.net,SK,1500,1500
2298392,Liquid,fnatic,1500,1500
2298402,Vexed,CSGL,1500,1500
2298393,Virtus.pro,TSM,1532,1532
2298394,PENTA,CSGL,1500,1532
2298413,fnatic,Virtus.pro,1468,1500
2298414,TSM,Virtus.pro,1500,1529
2298421,HellRaisers,E-frag.net,1500,1500
2298422,E-frag.net,Titan,1468,1500
2298430,Winterfox,Luminosity,1500,1532
2298433,PENTA,HellRaisers,1534,1500
2298438,CSGL,Dignitas,1500,1529
2298434,Natus Vincere,Vexed,1500,1500
2298439,FlipSid3,E-frag.net,1500,1532
2298442,Winterfox,CLG,1470,1470
2298464,Luminosity,Splyce,1500,1500
2298471,G2,Dignitas,1500,1558
2298453,TSM,HellRaisers,1534,1535
2298449,Titan,fnatic,1500,1532
2298450,Titan,TSM,1534,1564
2298454,fnatic,NIP,1438,1500
2298458,SK,E-frag.net,1438,1497
2298465,PENTA,Vexed,1499,1468
2298451,NIP,TSM,1561,1529
2298455,Envy,G2,1500,1500
2298459,HellRaisers,FlipSid3,1468,1473
2298457,Titan,NIP,1569,1462
2298452,Dignitas,mousesports,1534,1500
2298456,HellRaisers,NIP,1500,1504
2298448,CSGL,SK,1502,1532
2298470,Liquid,Method,1468,1500
2298485,G2,HellRaisers,1440,1567
2298483,HellRaisers,Dignitas,1468,1585
2298486,Titan,G2,1528,1468
2298484,SK,fnatic,1412,1497
2298494,Liquid,Method,1502,1465
2298493,Liquid,Splyce,1467,1468
2298502,Dignitas,TSM,1563,1564
2298513,Liquid,Splyce,1435,1499
2298530,Dignitas,SK,1595,1561
2298553,Liquid,Luminosity,1473,1526
2298560,PENTA,E-frag.net,1464,1523
2298567,Dignitas,Natus Vincere,1624,1500
2298572,fnatic,Envy,1476,1497
2298568,mousesports,Titan,1529,1529
2298569,Titan,fnatic,1554,1521
2298573,G2,TSM,1419,1532
2298570,mousesports,Titan,1497,1497
2298574,G2,Envy,1397,1463
2298566,Natus Vincere,E-frag.net,1532,1550
2298571,Envy,Titan,1532,1465
2298575,TSM,fnatic,1502,1492
2298601,HellRaisers,mousesports,1447,1471
2298592,Luminosity,Conquest,1532,1438
2298591,Liquid,Winterfox,1510,1500
2298589,CLG,Method,1500,1500
2298588,Luminosity,Complexity,1555,1645
2298606,PENTA,Natus Vincere,1438,1479
2298603,Titan,mousesports,1583,1500
2298614,HellRaisers,Envy,1417,1489
2298611,HellRaisers,fnatic,1455,1525
2298607,Titan,Natus Vincere,1544,1507
2298616,FlipSid3,CSGL,1534,1497
2298631,SK,Vexed,1387,1502
2298612,TSM,Titan,1469,1503
2298608,Natus Vincere,Envy,1565,1450
2298604,mousesports,E-frag.net,1532,1516
2298613,TSM,NIP,1440,1535
2298609,fnatic,Envy,1510,1428
2298610,NIP,Envy,1489,1404
2298605,CSGL,E-frag.net,1473,1550
2298628,Luminosity,Winterfox,1595,1532
2298623,Cloud9,Liquid,1468,1468
2298627,Liquid,Complexity,1477,1605
2297880,CLG,Splyce,1532,1462
2298626,Cloud9,Luminosity,1500,1449
2298624,Liquid,Winterfox,1456,1570
2298639,Titan,TSM,1572,1554
2298647,HellRaisers,NIP,1494,1559
2298635,mousesports,CSGL,1498,1468
2298645,fnatic,Vexed,1535,1460
2298643,FlipSid3,Dignitas,1563,1606
2298640,mousesports,TSM,1463,1587
2298641,Dignitas,fnatic,1626,1487
