"","MatchID","Team1","Team2","T1_rating","T2_rating","Odd_T1","Odd_T2","ResultTeam1","ResultTeam2","Ent_T1","Ent_T2","Clu_T1","Clu_T2","T1pick"
"1",2347746,"Heroic","SAW",1.41,0.74,1.12,5.5,2,0,"12 "," 8","1 "," 0",0
"21",2347745,"FURIA","MIBR",0.99,1.04,1.25,3.75,2,0,"18 "," 12","3 "," 0",0
"41",2347744,"Gambit","NASR",1.28,0.76,1,21,2,0,"13 "," 11","0 "," 0",0
"61",2347743,"Spirit","Extra Salt",1.39,0.76,1.16,4.5,2,0,"20 "," 6","2 "," 3",0
"101",2347841,"HAVU","Apeks",0.47,1.6,1.2,4.33,3,16,"7 "," 12","1 "," 1",NA
"151",2347691,"ENCE","SKADE",1.05,1.07,1.66,2.1,0,2,"16 "," 11","1 "," 1",1
"191",2347395,"ex-Winstrike","AGO",0.94,1.18,1.53,2.37,2,1,"10 "," 16","0 "," 2",0
"221",2347742,"Liquid","Dignitas",0.74,1.34,1.25,3.75,0,2,"10 "," 11","0 "," 1",0
"241",2347741,"G2","Endpoint",1.12,1.01,1.2,4.33,2,0,"13 "," 17","5 "," 1",0
"261",2347740,"Astralis","OG",0.77,1.24,1.33,3.25,0,2,"10 "," 13","0 "," 0",0
"281",2347028,"Gambit","Heroic",1.08,0.98,1.5,2.5,2,3,"20 "," 16","1 "," 2",0
"331",2347855,"HAVU","Dignitas",1.33,0.76,1.57,2.25,2,0,"15 "," 10","2 "," 1",0
"351",2347026,"Heroic","FURIA",1.13,0.98,1.57,2.25,2,0,"12 "," 15","1 "," 1",0
"371",2347027,"Gambit","NIP",1.54,0.71,1.3,3.4,2,0,"14 "," 7","2 "," 2",0
"391",2347836,"K23","HAVU",1.11,1.04,2.75,1.4,0,2,"22 "," 14","2 "," 4",1
"411",2347024,"FURIA","Astralis",1.24,0.88,2.62,1.44,2,0,"13 "," 13","3 "," 2",1
"431",2347025,"Complexity","NIP",1.02,1.09,1.44,2.62,1,2,"14 "," 22","4 "," 2",1
"461",2347738,"HAVU","ex-Winstrike",0.82,1.33,1.57,2.25,2,1,"8 "," 17","3 "," 1",0
"491",2347017,"Gambit","Astralis",1.4,0.76,2,1.72,2,0,"14 "," 9","2 "," 1",1
"511",2347016,"Heroic","NIP",1.13,0.96,1.53,2.37,2,0,"17 "," 12","0 "," 2",0
"531",2347587,"ex-Winstrike","mousesports",0.99,1.04,2,1.72,0,2,"22 "," 25","4 "," 3",0
"551",2347585,"mousesports","fnatic",1.05,1.04,1.66,2.1,2,1,"15 "," 13","1 "," 2",0
"581",2347730,"Nemiga","ex-Winstrike",0.7,1.36,2.37,1.53,0,2,"8 "," 15","3 "," 0",1
"601",2347586,"ex-Winstrike","Evil Geniuses",1.39,0.68,2.1,1.66,2,0,"16 "," 6","2 "," 0",0
"621",2347582,"fnatic","Wisla Krakow",1.21,0.85,1.57,2.25,2,0,"14 "," 9","2 "," 1",0
"641",2347584,"Evil Geniuses","Dignitas",1.2,0.83,1.57,2.25,2,1,"15 "," 11","0 "," 1",1
"671",2347722,"Copenhagen Flames","HAVU",0.69,1.46,3.75,1.25,0,2,"9 "," 12","1 "," 0",0
"691",2347581,"mousesports","SKADE",1.12,0.97,1.66,2.1,2,0,"15 "," 21","0 "," 4",0
"711",2347583,"HAVU","ex-Winstrike",0.82,1.29,1.4,2.75,0,2,"6 "," 16","0 "," 2",0
"731",2347023,"Virtus.pro","Complexity",1.18,0.87,1.66,2.1,1,2,"15 "," 10","3 "," 0",0
"761",2347414,"HAVU","K23",1.24,0.87,1.2,4.33,2,1,"11 "," 15","2 "," 0",0
"791",2347022,"FURIA","G2",1.4,0.75,2,1.72,2,0,"11 "," 10","3 "," 0",1
"811",2347413,"SAW","Copenhagen Flames",0.91,1.21,1.53,2.37,1,2,"9 "," 16","1 "," 0",0
"841",2346895,"Gambit","HAVU",1.34,0.74,1.44,2.62,2,1,"17 "," 7","1 "," 1",0
"871",2347020,"Complexity","Natus Vincere",1.21,0.84,2.62,1.44,2,0,"14 "," 10","1 "," 0",0
"891",2347021,"Virtus.pro","ENCE",1.31,0.65,1.22,4,2,1,"13 "," 9","0 "," 0",1
"921",2346893,"HAVU","BIG",1.16,0.92,2.25,1.57,2,0,"16 "," 11","1 "," 0",1
"941",2346894,"Gambit","Spirit",0.89,1.14,1.72,2,2,1,"14 "," 12","3 "," 0",0
"971",2347019,"G2","Liquid",0.95,1.11,2.25,1.57,2,1,"12 "," 15","2 "," 0",1
"1001",2347532,"kingkongflowers","Young Ninjas",0.86,1.26,1.16,4.5,0,2,"10 "," 17","0 "," 2",1
"1021",2347018,"FURIA","FunPlus Phoenix",0.93,1.09,1.44,2.62,2,1,"10 "," 20","4 "," 1",0
"1051",2346962,"Liquid","Virtus.pro",1.02,1.04,2.5,1.5,2,0,"14 "," 15","1 "," 1",0
"1071",2346963,"Evil Geniuses","Endpoint",1.01,1.08,1.36,3,0,2,"11 "," 18","2 "," 1",0
"1091",2346961,"Astralis","fnatic",1.24,0.84,1.22,4,2,0,"19 "," 7","1 "," 1",0
"1111",2347523,"Extra Salt","paiN",0.93,1.22,1.36,3,2,1,"11 "," 12","0 "," 1",0
"1141",2346890,"BIG","Endpoint",1.18,0.89,1.33,3.25,2,1,"16 "," 10","2 "," 0",1
"1171",2347487,"HAVU","Dignitas",0.95,1.2,1.33,3.25,0,2,"9 "," 18","2 "," 4",1
"1191",2346960,"Evil Geniuses","Liquid",0.97,1.2,2.25,1.57,0,2,"10 "," 17","2 "," 3",1
"1211",2346959,"Astralis","Endpoint",1.19,0.88,1.1,6.5,2,0,"14 "," 12","0 "," 2",0
"1231",2347485,"HAVU","ENCE",1.29,0.85,1.57,2.25,2,0,"14 "," 10","3 "," 2",0
"1251",2346958,"fnatic","Virtus.pro",0.84,1.21,3.4,1.3,0,2,"10 "," 15","1 "," 2",1
"1271",2346891,"Spirit","Nemiga",1.38,0.78,1.16,4.5,2,0,"11 "," 9","2 "," 0",0
"1291",2346889,"NIP","HAVU",1.29,0.79,1.83,1.83,1,2,"14 "," 11","0 "," 1",0
"1321",2346957,"Endpoint","Liquid",0.94,1.2,4,1.22,0,2,"17 "," 11","1 "," 2",1
"1341",2346956,"Astralis","Virtus.pro",1.14,0.94,1.72,2,2,1,"15 "," 14","2 "," 0",0
"1371",2346955,"fnatic","Evil Geniuses",1.09,0.97,2.75,1.4,2,1,"15 "," 12","2 "," 0",1
"1401",2346892,"Gambit","Wisla Krakow",1.34,0.71,1.1,6.5,2,0,"13 "," 13","0 "," 2",1
"1421",2346954,"Astralis","Liquid",1.08,1.07,1.53,2.37,2,0,"15 "," 21","1 "," 2",0
"1441",2346953,"Virtus.pro","Evil Geniuses",1.15,0.95,1.4,2.75,2,1,"24 "," 11","2 "," 4",0
"1471",2347477,"GODSENT","HAVU",0.9,1.22,3.4,1.3,10,16,"10 "," 16","2 "," 1",NA
"1481",2347476,"HAVU","777",1.19,0.8,1.11,6,16,9,"16 "," 9","0 "," 0",NA
"1491",2346952,"Endpoint","fnatic",1.27,0.83,2.75,1.4,2,0,"17 "," 8","1 "," 1",1
"1511",2346951,"Astralis","Evil Geniuses",0.98,1.08,1.22,4,1,2,"13 "," 15","1 "," 1",0
"1541",2346950,"Liquid","fnatic",1.19,0.97,1.57,2.25,2,0,"15 "," 12","3 "," 1",0
"1561",2346949,"Virtus.pro","Endpoint",1.3,0.77,1.12,5.5,2,0,"15 "," 10","1 "," 1",0
"1581",2347429,"LDLC","FunPlus Phoenix",1.28,0.84,NA,NA,16,10,"20 "," 6","2 "," 2",NA
"1591",2346946,"FURIA","Gambit",0.85,1.31,3.25,1.33,1,2,"12 "," 12","3 "," 3",0
"1621",2347428,"FunPlus Phoenix","Pompa",1.18,0.94,NA,NA,16,11,"17 "," 10","2 "," 3",NA
"1631",2346947,"Natus Vincere","TeamOne",1.19,0.81,1.05,8.5,2,0,"13 "," 11","0 "," 1",0
"1651",2347425,"FunPlus Phoenix","LDLC",0.94,1.18,1.28,3.5,10,16,"9 "," 17","2 "," 1",NA
"1661",2347423,"mousesports","PACT",0.66,1.5,1.22,4,3,16,"3 "," 16","0 "," 1",NA
"1671",2347420,"mousesports","DBL PONEY",1,1.06,1.28,3.5,12,16,"15 "," 13","2 "," 2",NA
"1681",2346945,"Cloud9","FURIA",1.31,0.83,3.25,1.33,2,0,"15 "," 7","1 "," 1",1
"1701",2346944,"Natus Vincere","MIBR",1.13,1,1.16,4.5,2,0,"22 "," 26","3 "," 4",0
"1721",2346943,"TeamOne","Gambit",0.76,1.42,8,1.06,0,2,"5 "," 16","1 "," 2",1
"1741",2346942,"MIBR","FURIA",0.78,1.34,3.75,1.25,0,2,"3 "," 21","1 "," 2",1
"1761",2347415,"HAVU","SJ",1.32,0.84,NA,NA,2,0,"15 "," 9","2 "," 2",0
"1781",2347394,"1WIN","Spirit",0.81,1.26,NA,NA,0,2,"11 "," 13","1 "," 1",1
"1801",2346887,"HAVU","SAW",1.14,0.93,1.25,3.75,2,0,"10 "," 15","0 "," 1",0
"1821",2346940,"Natus Vincere","Gambit",1.01,1.03,2,1.72,1,2,"23 "," 18","2 "," 1",0
"1851",2347383,"EXTREMUM","Spirit",0.77,1.38,4.5,1.16,0,2,"11 "," 10","1 "," 3",0
"1871",2347379,"HAVU","KOVA",1.64,0.48,1.05,8.5,2,0,"12 "," 6","1 "," 0",1
"1891",2346938,"Natus Vincere","FURIA",0.89,1.16,1.36,3,0,2,"14 "," 12","0 "," 1",0
"1911",2346937,"Gambit","Cloud9",0.97,1.14,1.33,3.25,2,1,"11 "," 17","1 "," 3",0
"1941",2347371,"Winstrike","Spirit",0.42,1.59,NA,NA,2,16,"4 "," 14","0 "," 1",NA
"1951",2347370,"Spirit","K23",1.37,0.75,1.33,3.25,16,6,"14 "," 8","0 "," 0",NA
"1961",2346936,"FURIA","TeamOne",1.12,0.98,1.07,7.5,2,0,"16 "," 12","3 "," 3",0
"1981",2347360,"HAVU","VISU",1.24,0.85,NA,NA,2,0,"14 "," 12","3 "," 0",0
"2001",2346935,"Natus Vincere","Cloud9",1.26,0.81,1.16,4.5,2,1,"22 "," 13","1 "," 3",0
"2031",2347358,"HAVU","hREDS",0.84,1.28,NA,NA,8,16,"10 "," 14","1 "," 2",NA
"2041",2346934,"Gambit","MIBR",1.22,0.91,1.14,5,2,1,"14 "," 11","1 "," 2",0
"2071",2347303,"HAVU","VISU",1.42,0.72,NA,NA,16,4,"10 "," 10","1 "," 0",NA
"2081",2347309,"Spirit","1WIN",1.05,1.08,1.11,6,16,19,"22 "," 13","1 "," 5",NA
"2091",2346931,"G2","mousesports",0.72,1.38,1.36,3,0,2,"9 "," 13","0 "," 1",0
"2111",2346933,"Vitality","NIP",0.92,1.18,1.57,2.25,0,2,"14 "," 16","3 "," 2",0
"2131",2346932,"FaZe","ENCE",1.47,0.69,2.1,1.66,2,0,"13 "," 7","1 "," 2",0
"2151",2346930,"Vitality","ENCE",1.02,1.1,1.36,3,0,2,"14 "," 12","0 "," 2",0
"2171",2346929,"NIP","mousesports",0.82,1.33,1.66,2.1,2,1,"12 "," 13","4 "," 0",1
"2201",2346928,"G2","FaZe",1.25,0.93,1.66,2.1,2,0,"13 "," 12","3 "," 0",0
"2221",2346927,"Vitality","mousesports",1.16,0.89,1.4,2.75,2,0,"13 "," 14","1 "," 1",0
"2241",2346926,"ENCE","G2",1.22,0.84,3.25,1.33,2,1,"13 "," 8","3 "," 0",1
"2271",2346925,"NIP","FaZe",1.07,1.06,2.1,1.66,2,0,"15 "," 14","3 "," 1",1
"2291",2346924,"Vitality","G2",1.05,1.08,1.57,2.25,0,2,"16 "," 10","1 "," 3",0
"2311",2346923,"mousesports","FaZe",0.94,1.15,2.25,1.57,0,2,"11 "," 18","2 "," 2",0
"2331",2346883,"Sinners","SAW",1.05,1.01,1.72,2,0,2,"16 "," 11","0 "," 0",1
"2351",2346922,"ENCE","NIP",0.62,1.57,1.72,2,1,2,"4 "," 14","1 "," 3",1
"2381",2346882,"Copenhagen Flames","Winstrike",1.38,0.71,2.75,1.4,2,0,"11 "," 11","0 "," 0",1
"2401",2347108,"Liquid","paiN",0.76,1.31,NA,NA,1,2,"8 "," 18","0 "," 1",0
"2431",2346921,"Vitality","FaZe",0.71,1.48,1.53,2.37,2,1,"9 "," 12","2 "," 2",0
"2461",2346920,"G2","NIP",1.08,0.95,1.57,2.25,2,0,"12 "," 15","2 "," 0",0
"2481",2346919,"mousesports","ENCE",0.92,1.17,NA,NA,1,2,"13 "," 15","2 "," 2",0
"2511",2346879,"Nemiga","SAW",1.19,0.91,1.72,2,2,0,"14 "," 12","1 "," 2",1
"2531",2346918,"OG","FunPlus Phoenix",1.13,0.87,1.72,2,1,2,"18 "," 12","0 "," 1",0
"2561",2346916,"Heroic","Complexity",1.17,0.9,1.72,2,2,1,"16 "," 12","1 "," 1",0
"2591",2346917,"BIG","Renegades",0.96,1.11,1.14,5,0,2,"14 "," 20","1 "," 3",0
"2611",2347105,"Liquid","Triumph",1.42,0.7,1.04,9,2,0,"19 "," 6","2 "," 2",0
"2631",2346915,"Renegades","Complexity",0.89,1.18,6.5,1.1,0,2,"11 "," 15","2 "," 1",1
"2651",2346875,"HAVU","SAW",1.06,0.99,1.2,4.33,2,0,"13 "," 14","3 "," 1",0
"2671",2346914,"BIG","FunPlus Phoenix",0.98,1.06,1.36,3,1,2,"14 "," 22","2 "," 3",0
"2701",2346913,"OG","Heroic",0.71,1.38,3,1.36,1,2,"5 "," 16","1 "," 2",1
"2731",2347103,"Liquid","RBG",1.14,0.94,1.04,9,2,0,"15 "," 13","2 "," 1",0
"2751",2346912,"BIG","Complexity",1.28,0.84,2.5,1.5,2,0,"17 "," 11","0 "," 3",0
"2771",2346808,"HAVU","Winstrike",0.9,1.17,1.4,2.75,2,1,"11 "," 17","1 "," 3",1
"2801",2346911,"Heroic","FunPlus Phoenix",1.37,0.74,1.4,2.75,2,0,"17 "," 9","1 "," 3",0
"2821",2346910,"Renegades","OG",1.04,1.17,4.33,1.2,0,2,"16 "," 12","2 "," 5",1
"2841",2346813,"Gambit","Copenhagen Flames",1.13,1.06,1.1,6.5,1,2,"14 "," 16","3 "," 3",0
"2871",2346909,"BIG","Heroic",0.98,1.08,1.83,1.83,1,2,"19 "," 9","1 "," 1",0
"2901",2346807,"Cloud9","Winstrike",0.89,1.18,2,1.72,1,2,"10 "," 16","1 "," 3",1
"2931",2346908,"Complexity","OG",1.04,1.04,1.4,2.75,2,0,"16 "," 19","3 "," 1",0
"2951",2346867,"Copenhagen Flames","HAVU",0.95,1.17,3.5,1.28,0,2,"13 "," 14","1 "," 2",1
"2971",2346812,"NIP","AGO",0.93,1.13,1.33,3.25,1,2,"12 "," 15","0 "," 1",0
"3001",2346907,"FunPlus Phoenix","Renegades",1.27,0.77,1.25,3.75,2,0,"17 "," 10","1 "," 2",1
"3021",2346864,"Nemiga","Winstrike",1.2,0.9,2.75,1.4,2,0,"15 "," 10","2 "," 2",0
"3041",2346806,"Sprout","HAVU",0.73,1.36,2.62,1.44,1,2,"7 "," 14","0 "," 2",1
"3071",2346906,"BIG","OG",1,1.13,1.36,3,1,2,"10 "," 20","1 "," 2",0
"3101",2346811,"Winstrike","MIBR",1.21,0.81,1.57,2.25,2,0,"14 "," 11","2 "," 0",0
"3121",2346905,"Heroic","Renegades",1.11,0.94,1.14,5,2,0,"20 "," 15","1 "," 1",0
"3141",2346904,"Complexity","FunPlus Phoenix",1.23,0.81,1.53,2.37,2,0,"10 "," 12","3 "," 0",0
"3161",2347056,"Cloud9","VOYVODA",1.01,1.03,1.25,3.75,1,2,"18 "," 12","1 "," 2",0
"3191",2347055,"OG","VOYVODA",1.26,0.85,1.1,6.5,1,2,"11 "," 16","1 "," 0",0
"3221",2347054,"Cloud9","Movistar Riders",1.25,0.86,1.66,2.1,2,0,"17 "," 10","0 "," 3",0
"3241",2347034,"Heroic","Cloud9",1.08,1.06,NA,NA,2,0,"16 "," 14","2 "," 2",0
"3261",2347035,"OG","Complexity",0.59,1.45,2.37,1.53,0,2,"9 "," 10","0 "," 0",1
"3281",2347031,"Cloud9","K23",1.01,1.1,1.4,2.75,2,1,"15 "," 15","2 "," 1",0
"3311",2347033,"Complexity","Movistar Riders",0.81,1.25,1.25,3.75,2,1,"14 "," 8","0 "," 2",0
"3341",2347032,"OG","Nordavind",1.44,0.63,1.14,5,2,0,"15 "," 5","1 "," 1",0
"3361",2347030,"Heroic","VOYVODA",1.13,0.95,1.11,6,2,0,"16 "," 11","0 "," 0",0
"3381",2347048,"G2","Sinners",1.19,0.91,NA,NA,16,13,"17 "," 12","1 "," 1",NA
"3391",2346800,"Nemiga","SAW",1.27,0.78,1.83,1.83,2,1,"15 "," 11","2 "," 1",1
"3421",2346840,"SAW","Winstrike",0.56,1.54,2.62,1.44,1,2,"9 "," 11","1 "," 1",0
"3451",2346780,"Sinners","SAW",1.4,0.75,NA,NA,1,2,"14 "," 9","3 "," 2",1
"3481",2346588,"Gambit","Virtus.pro",0.96,1.05,2,1.72,3,1,"11 "," 19","0 "," 1",1
"3521",2346587,"Liquid","Virtus.pro",0.8,1.25,2.25,1.57,0,2,"10 "," 15","3 "," 1",0
"3541",2346586,"Spirit","Gambit",0.89,1.19,1.72,2,0,2,"9 "," 18","2 "," 1",0
"3561",2346585,"Virtus.pro","Astralis",1.2,0.92,2.62,1.44,2,1,"15 "," 10","3 "," 1",1
"3591",2346584,"Gambit","Natus Vincere",1.04,1.01,2.37,1.53,2,0,"13 "," 15","4 "," 1",1
"3611",2346459,"Movistar Riders","Sprout",1.29,0.79,1.66,2.1,1,2,"18 "," 8","0 "," 4",0
"3641",2346458,"Sinners","Sprout",1.38,0.68,NA,NA,1,2,"14 "," 7","1 "," 0",0
"3671",2346457,"Nemiga","Movistar Riders",1.03,1.09,2.25,1.57,0,2,"13 "," 17","3 "," 1",1
"3691",2346456,"Sprout","SAW",1.18,0.88,1.66,2.1,2,1,"14 "," 14","2 "," 2",0
"3721",2346453,"Nemiga","forZe",1.02,1.13,1.8,1.9,2,0,"15 "," 15","2 "," 2",0
"3741",2346583,"Liquid","Natus Vincere",1.04,1.07,3,1.36,2,1,"14 "," 16","1 "," 0",1
"3771",2346575,"Virtus.pro","FURIA",1.22,0.9,1.44,2.62,2,0,"19 "," 11","2 "," 1",1
"3791",2346582,"Astralis","Spirit",1.08,0.95,1.36,3,1,2,"14 "," 13","0 "," 0",0
"3821",2346574,"Gambit","G2",1.22,0.95,1.83,1.83,2,0,"17 "," 10","2 "," 1",1
"3841",2346573,"FaZe","FURIA",0.81,1.25,1.66,2.1,1,2,"10 "," 14","1 "," 2",1
"3871",2346581,"Virtus.pro","Vitality",1.07,0.99,2,1.72,2,0,"19 "," 17","4 "," 1",1
"3891",2346572,"FURIA","Natus Vincere",0.93,1.12,3.25,1.33,0,2,"14 "," 15","1 "," 2",1
"3911",2346580,"Evil Geniuses","G2",1.05,1.05,2.37,1.53,0,2,"14 "," 15","2 "," 1",1
"3931",2346571,"Liquid","Vitality",1.05,1.1,2.75,1.4,2,1,"17 "," 18","1 "," 3",1
"3961",2346579,"Gambit","Heroic",0.92,1.09,1.72,2,2,1,"14 "," 14","0 "," 1",1
"3991",2346578,"NIP","Virtus.pro",0.82,1.18,2.5,1.5,0,2,"9 "," 16","1 "," 2",0
"4011",2346570,"FaZe","OG",1.2,0.87,1.83,1.83,2,0,"10 "," 13","1 "," 1",0
"4031",2346569,"Spirit","Heroic",1.17,0.9,1.66,2.1,2,0,"19 "," 9","4 "," 0",1
"4051",2346577,"G2","BIG",1.21,0.88,2,1.72,2,0,"15 "," 11","2 "," 1",0
"4071",2346576,"Gambit","mousesports",1.07,1.02,1.57,2.25,2,0,"14 "," 13","4 "," 0",0
"4091",2346568,"Evil Geniuses","Astralis",0.83,1.29,3.75,1.25,0,2,"13 "," 12","1 "," 2",1
"4111",2346567,"Natus Vincere","Virtus.pro",1.18,0.95,1.53,2.37,2,0,"12 "," 15","5 "," 0",0
"4131",2346563,"FURIA","NIP",1.26,0.8,2.2,1.61,2,0,"20 "," 8","1 "," 3",0
"4151",2346566,"Vitality","OG",1.19,0.9,1.36,3,2,0,"18 "," 9","2 "," 0",0
"4171",2346562,"FaZe","Liquid",0.79,1.24,1.83,1.83,0,2,"9 "," 18","2 "," 3",0
"4191",2346561,"Astralis","mousesports",1.4,0.67,1.2,4.33,2,0,"13 "," 11","1 "," 1",0
"4211",2346565,"Heroic","BIG",1.1,0.97,2.1,1.66,2,0,"12 "," 16","2 "," 1",0
"4231",2346564,"G2","Spirit",0.95,1.1,2,1.72,1,2,"20 "," 10","1 "," 0",0
"4261",2346560,"Evil Geniuses","Gambit",0.92,1.24,2.37,1.53,2,0,"12 "," 17","3 "," 1",0
