MatchID,Team1,Team2,Team1Odds,Team2Odds,Winner,Team1winchance,Team2winchance,w_ts_after_game,l_ts_after_game,w_ts_before_game,l_ts_before_game
2314256,248,480,1.44,2.62,2,0.499,0.501,"trueskill.Rating(mu=27.197, sigma=1.085)","trueskill.Rating(mu=26.927, sigma=0.843)","trueskill.Rating(mu=27.039, sigma=1.093)","trueskill.Rating(mu=27.021, sigma=0.844)"
2313887,455,64,1.06,8.0,2,0.5449999999999999,0.455,"trueskill.Rating(mu=30.909, sigma=6.249)","trueskill.Rating(mu=26.100, sigma=0.797)","trueskill.Rating(mu=25.000, sigma=8.333)","trueskill.Rating(mu=26.154, sigma=0.794)"
2313888,56,437,1.16,4.5,2,0.651,0.349,"trueskill.Rating(mu=25.106, sigma=0.835)","trueskill.Rating(mu=27.200, sigma=0.791)","trueskill.Rating(mu=24.981, sigma=0.837)","trueskill.Rating(mu=27.312, sigma=0.791)"
2313889,558,347,2.0,1.72,1,0.626,0.374,"trueskill.Rating(mu=27.782, sigma=0.796)","trueskill.Rating(mu=25.723, sigma=0.797)","trueskill.Rating(mu=27.717, sigma=0.795)","trueskill.Rating(mu=25.788, sigma=0.796)"
2313890,111,363,2.62,1.44,2,0.45399999999999996,0.546,"trueskill.Rating(mu=27.046, sigma=0.933)","trueskill.Rating(mu=26.161, sigma=0.794)","trueskill.Rating(mu=26.939, sigma=0.936)","trueskill.Rating(mu=26.238, sigma=0.794)"
2313891,254,632,2.0,1.72,1,0.505,0.495,"trueskill.Rating(mu=27.198, sigma=0.806)","trueskill.Rating(mu=26.953, sigma=0.791)","trueskill.Rating(mu=27.112, sigma=0.807)","trueskill.Rating(mu=27.037, sigma=0.791)"
2313892,218,652,2.1,1.66,2,0.511,0.489,"trueskill.Rating(mu=26.959, sigma=0.795)","trueskill.Rating(mu=26.943, sigma=0.860)","trueskill.Rating(mu=26.872, sigma=0.795)","trueskill.Rating(mu=27.044, sigma=0.861)"
2313893,193,343,1.36,3.0,1,0.459,0.5409999999999999,"trueskill.Rating(mu=27.067, sigma=0.791)","trueskill.Rating(mu=27.497, sigma=0.798)","trueskill.Rating(mu=26.976, sigma=0.791)","trueskill.Rating(mu=27.590, sigma=0.798)"
2313894,211,172,1.5,2.5,1,0.489,0.511,"trueskill.Rating(mu=27.475, sigma=0.793)","trueskill.Rating(mu=27.458, sigma=0.803)","trueskill.Rating(mu=27.389, sigma=0.793)","trueskill.Rating(mu=27.547, sigma=0.804)"
2313896,64,111,7.5,1.07,1,0.709,0.29100000000000004,"trueskill.Rating(mu=33.099, sigma=5.367)","trueskill.Rating(mu=26.126, sigma=0.796)","trueskill.Rating(mu=30.909, sigma=6.249)","trueskill.Rating(mu=26.161, sigma=0.794)"
2313895,437,558,3.75,1.25,2,0.32799999999999996,0.672,"trueskill.Rating(mu=27.839, sigma=0.796)","trueskill.Rating(mu=25.042, sigma=0.835)","trueskill.Rating(mu=27.782, sigma=0.796)","trueskill.Rating(mu=25.106, sigma=0.835)"
2313898,632,172,1.57,2.25,1,0.466,0.534,"trueskill.Rating(mu=27.043, sigma=0.791)","trueskill.Rating(mu=27.365, sigma=0.803)","trueskill.Rating(mu=26.953, sigma=0.791)","trueskill.Rating(mu=27.458, sigma=0.803)"
2313897,652,193,2.5,1.5,1,0.493,0.507,"trueskill.Rating(mu=27.045, sigma=0.795)","trueskill.Rating(mu=26.982, sigma=0.791)","trueskill.Rating(mu=26.959, sigma=0.795)","trueskill.Rating(mu=27.067, sigma=0.791)"
2313899,455,363,1.3,3.4,2,0.43799999999999994,0.562,"trueskill.Rating(mu=27.148, sigma=0.930)","trueskill.Rating(mu=26.025, sigma=0.797)","trueskill.Rating(mu=27.046, sigma=0.933)","trueskill.Rating(mu=26.100, sigma=0.797)"
2313900,56,347,1.4,2.75,1,0.597,0.403,"trueskill.Rating(mu=27.269, sigma=0.791)","trueskill.Rating(mu=25.654, sigma=0.797)","trueskill.Rating(mu=27.200, sigma=0.791)","trueskill.Rating(mu=25.723, sigma=0.797)"
2314260,480,282,1.57,2.25,2,0.529,0.471,"trueskill.Rating(mu=27.075, sigma=1.133)","trueskill.Rating(mu=27.173, sigma=1.069)","trueskill.Rating(mu=26.894, sigma=1.143)","trueskill.Rating(mu=27.334, sigma=1.077)"
2313901,218,343,1.83,1.83,2,0.46299999999999997,0.537,"trueskill.Rating(mu=27.577, sigma=0.798)","trueskill.Rating(mu=26.851, sigma=0.858)","trueskill.Rating(mu=27.497, sigma=0.798)","trueskill.Rating(mu=26.943, sigma=0.860)"
2314261,248,280,1.5,2.5,1,0.542,0.45799999999999996,"trueskill.Rating(mu=26.917, sigma=0.840)","trueskill.Rating(mu=26.081, sigma=0.941)","trueskill.Rating(mu=26.830, sigma=0.841)","trueskill.Rating(mu=26.190, sigma=0.945)"
2313902,254,211,2.37,1.53,2,0.482,0.518,"trueskill.Rating(mu=27.556, sigma=0.793)","trueskill.Rating(mu=27.114, sigma=0.806)","trueskill.Rating(mu=27.475, sigma=0.793)","trueskill.Rating(mu=27.198, sigma=0.806)"
