MatchID,Team1,Team2,Team1Odds,Team2Odds,Winner,Team1winchance,Team2winchance,w_ts_after_game,l_ts_after_game,w_ts_before_game,l_ts_before_game,team1prob,team2prob,returns
2298365,455,172,,,2,0.5,0.5,"trueskill.Rating(mu=29.205, sigma=7.195)","trueskill.Rating(mu=20.795, sigma=7.195)","trueskill.Rating(mu=25.000, sigma=8.333)","trueskill.Rating(mu=25.000, sigma=8.333)",0.0,0.0,0.0
2298366,455,137,,,2,0.368,0.632,"trueskill.Rating(mu=28.318, sigma=7.227)","trueskill.Rating(mu=18.321, sigma=6.496)","trueskill.Rating(mu=25.000, sigma=8.333)","trueskill.Rating(mu=20.795, sigma=7.195)",0.0,0.0,0.0
2298361,402,475,,,1,0.5,0.5,"trueskill.Rating(mu=29.205, sigma=7.195)","trueskill.Rating(mu=20.795, sigma=7.195)","trueskill.Rating(mu=25.000, sigma=8.333)","trueskill.Rating(mu=25.000, sigma=8.333)",0.0,0.0,0.0
2298367,137,172,,,1,0.47,0.53,"trueskill.Rating(mu=32.072, sigma=6.277)","trueskill.Rating(mu=25.485, sigma=6.258)","trueskill.Rating(mu=28.318, sigma=7.227)","trueskill.Rating(mu=29.205, sigma=7.195)",0.0,0.0,0.0
2298372,111,304,,,2,0.5,0.5,"trueskill.Rating(mu=29.205, sigma=7.195)","trueskill.Rating(mu=20.795, sigma=7.195)","trueskill.Rating(mu=25.000, sigma=8.333)","trueskill.Rating(mu=25.000, sigma=8.333)",0.0,0.0,0.0
2298371,116,304,,,2,0.368,0.632,"trueskill.Rating(mu=31.679, sigma=6.496)","trueskill.Rating(mu=21.682, sigma=7.227)","trueskill.Rating(mu=29.205, sigma=7.195)","trueskill.Rating(mu=25.000, sigma=8.333)",0.0,0.0,0.0
2298370,111,112,,,1,0.368,0.632,"trueskill.Rating(mu=25.039, sigma=6.299)","trueskill.Rating(mu=19.305, sigma=6.906)","trueskill.Rating(mu=20.795, sigma=7.195)","trueskill.Rating(mu=25.000, sigma=8.333)",0.0,0.0,0.0
2298335,558,301,,,1,0.5,0.5,"trueskill.Rating(mu=29.205, sigma=7.195)","trueskill.Rating(mu=20.795, sigma=7.195)","trueskill.Rating(mu=25.000, sigma=8.333)","trueskill.Rating(mu=25.000, sigma=8.333)",0.0,0.0,0.0
2298336,632,498,,,2,0.5,0.5,"trueskill.Rating(mu=29.205, sigma=7.195)","trueskill.Rating(mu=20.795, sigma=7.195)","trueskill.Rating(mu=25.000, sigma=8.333)","trueskill.Rating(mu=25.000, sigma=8.333)",0.0,0.0,0.0
2298387,145,455,,,2,0.71,0.29,"trueskill.Rating(mu=22.436, sigma=5.762)","trueskill.Rating(mu=18.230, sigma=6.714)","trueskill.Rating(mu=18.321, sigma=6.496)","trueskill.Rating(mu=25.000, sigma=8.333)",0.0,0.0,0.0
2298388,554,25,,,1,0.5,0.5,"trueskill.Rating(mu=29.205, sigma=7.195)","trueskill.Rating(mu=20.795, sigma=7.195)","trueskill.Rating(mu=25.000, sigma=8.333)","trueskill.Rating(mu=25.000, sigma=8.333)",0.0,0.0,0.0
2298389,100,6,,,1,0.5,0.5,"trueskill.Rating(mu=29.205, sigma=7.195)","trueskill.Rating(mu=20.795, sigma=7.195)","trueskill.Rating(mu=25.000, sigma=8.333)","trueskill.Rating(mu=25.000, sigma=8.333)",0.0,0.0,0.0
2298401,46,437,,,2,0.5,0.5,"trueskill.Rating(mu=29.205, sigma=7.195)","trueskill.Rating(mu=20.795, sigma=7.195)","trueskill.Rating(mu=25.000, sigma=8.333)","trueskill.Rating(mu=25.000, sigma=8.333)",0.0,0.0,0.0
