"ID","Date","Event","Team 1","Team 2","Team 1 Odds","Team 2 Odds","Team 1 Score","Team 2 Score","Outcome","Team 1 Entries","Team 2 Entries","Team 1 Clutches","Team 2 Clutches","Team 1 Kills mean","Team 2 Kills mean","Team 1 Kills sd","Team 2 Kills sd","Team 1 Assists mean","Team 2 Assists mean","Team 1 Assists sd","Team 2 Assists sd","Team 1 HS mean","Team 2 HS mean","Team 1 HS sd","Team 2 HS sd","Team 1 Flashes mean","Team 2 Flashes mean","Team 1 Flashes sd","Team 2 Flashes sd","Team 1 Deaths mean","Team 2 Deaths mean","Team 1 Deaths sd","Team 2 Deaths sd","Team 1 KAST mean","Team 2 KAST mean","Team 1 KAST sd","Team 2 KAST sd","Team 1 K/D Diff mean","Team 2 K/D Diff mean","Team 1 K/D Diff sd","Team 2 K/D Diff sd","Team 1 ADR mean","Team 2 ADR mean","Team 1 ADR sd","Team 2 ADR sd","Team 1 FK Diff mean","Team 2 FK Diff mean","Team 1 FK Diff sd","Team 2 FK Diff sd","Team 1 Rating mean","Team 2 Rating mean","Team 1 Rating sd","Team 2 Rating sd","Team 1 KDA mean","Team 2 KDA mean","Team 1 KDA sd","Team 2 KDA sd","Team 1 HSpc mean","Team 2 HSpc mean","Team 1 HSpc sd","Team 2 HSpc sd"
2301860,2016-04-01,"MLG Columbus 2016","Gambit","CLG",NA,NA,1,2,2,13.333,14,1.333,1,18.067,19.6,5.133,6.057,3.067,3.867,2.486,2.295,7.667,6.4,2.945,2.86,NA,NA,NA,NA,19.667,18.067,2.449,1.971,0.657,0.707,0.065,0.069,-1.6,1.533,7.145,7.296,73.867,77.46,15.303,19.224,-0.133,0.133,2.053,2.785,0.986,1.111,0.217,0.323,1.116,1.362,0.357,0.468,0.436,0.346,0.12,0.156
2301861,2016-04-01,"MLG Columbus 2016","G2","Virtus.pro",NA,NA,1,2,2,11.333,13,1.333,2.333,15,17.733,4.311,4.948,3.2,3.6,1.783,2.332,6.467,7.2,3.011,3.839,NA,NA,NA,NA,17.8,15,1.677,1.576,0.628,0.725,0.095,0.063,-2.8,2.733,5.125,5.633,69.433,80.253,16.42,18.005,-0.333,0.333,2.143,1.67,0.923,1.201,0.237,0.266,1.072,1.521,0.327,0.474,0.428,0.404,0.136,0.186
2301868,2016-04-01,"MLG Columbus 2016","Natus Vincere","NIP",NA,NA,2,0,1,13.5,12,2,1,19.7,15.2,5.359,4.193,3.3,3,1.911,1.478,8.5,6.7,3.937,2.605,NA,NA,NA,NA,15.3,19.7,2.613,1.72,0.737,0.609,0.086,0.095,4.4,-4.5,7.007,4.894,81.37,69.3,15.314,13.123,0.3,-0.3,2.609,2.704,1.211,0.887,0.29,0.2,1.555,0.935,0.507,0.236,0.414,0.45,0.129,0.14
2301869,2016-04-01,"MLG Columbus 2016","Astralis","fnatic",NA,NA,2,0,1,13.5,10,2,0.5,18.6,14.1,5.264,3.542,3.9,3.3,2.059,1.238,7.4,5.5,3.914,1.792,NA,NA,NA,NA,14.1,18.6,1.696,1.222,0.757,0.598,0.078,0.088,4.5,-4.5,5.646,4.289,84.26,69.96,23.103,12.955,0.7,-0.7,2.388,2.153,1.287,0.844,0.326,0.207,1.702,0.937,0.526,0.208,0.391,0.395,0.17,0.112
2301870,2016-04-02,"MLG Columbus 2016","Liquid","CLG",NA,NA,2,0,1,16.5,8.5,2,0.5,18.5,15.2,4.347,5.262,4.2,2.7,1.58,1.568,7.9,5.6,1.733,1.994,NA,NA,NA,NA,15.3,18.8,2.747,1.38,0.753,0.596,0.1,0.122,3.2,-3.6,4.903,5.403,81.8,69.57,13.46,16.629,1.6,-1.7,2.437,2.334,1.25,0.876,0.213,0.219,1.664,0.947,0.496,0.251,0.447,0.409,0.134,0.195
2301871,2016-04-02,"MLG Columbus 2016","Luminosity","Virtus.pro",NA,NA,2,1,1,17.333,12.333,0.667,2,21.067,19.533,3.135,4.061,3.933,3.267,2.221,1.593,8.867,8.933,2.488,2.979,NA,NA,NA,NA,19.533,21.067,2.863,2.308,0.717,0.648,0.062,0.078,1.533,-1.533,5.104,4.702,78.573,72.933,10.333,11.379,1,-1,1.781,2.034,1.131,0.982,0.146,0.196,1.369,1.09,0.359,0.249,0.428,0.478,0.131,0.177
2301878,2016-04-02,"MLG Columbus 2016","Natus Vincere","Astralis",NA,NA,2,0,1,13,12.5,1.5,0,17.6,14.6,6.917,2.32,4.1,2.5,2.355,0.966,7.8,5.6,3.669,1.654,NA,NA,NA,NA,14.6,17.6,2.302,1.222,0.704,0.615,0.068,0.054,3,-3,6.439,2.769,78.47,66.38,24.144,7.109,0.1,-0.1,1.837,2.313,1.2,0.841,0.291,0.099,1.541,0.97,0.401,0.135,0.432,0.411,0.082,0.141
2301879,2016-04-03,"MLG Columbus 2016","Liquid","Luminosity",NA,NA,0,2,2,17.5,17,2.5,1.5,21.2,25.2,6.331,6.988,4.2,5.2,1.312,2.224,8.1,9.9,3.389,3.615,0,0,0,0,25.3,21.2,2.125,2.951,0.632,0.748,0.047,0.055,-4.1,4,7.696,9.24,69.55,79.34,13.537,15.676,0.1,-0.1,3.164,2.309,0.926,1.158,0.22,0.237,1.015,1.483,0.29,0.384,0.385,0.401,0.131,0.113
2301885,2016-04-03,"MLG Columbus 2016","Natus Vincere","Luminosity",NA,NA,0,2,2,10,17,3.5,5,16.7,22.7,4.719,4.497,4.3,4.8,1.449,3.029,6.7,7.9,4.135,3.317,NA,NA,NA,NA,22.8,16.7,1.537,3.186,0.608,0.82,0.066,0.034,-6.1,6,4.44,5.493,67.31,91.08,17.842,20.724,-1.4,1.4,1.414,3.162,0.789,1.396,0.206,0.22,0.858,2.038,0.179,0.542,0.414,0.331,0.177,0.118
2301887,2016-04-04,"Uprise Champions Cup Season 4","HellRaisers","Escape",NA,NA,0,2,2,10,14.5,0,0,13.3,19.2,4.121,5.812,2.4,3.7,1.418,2.12,6.1,7.7,2.093,4.076,NA,NA,NA,NA,19.2,13.3,1.255,1.549,0.58,0.78,0.087,0.073,-5.9,5.9,4.524,6.322,63.19,83.39,18.774,19.478,-0.9,0.9,2.877,2.752,0.79,1.309,0.246,0.297,0.82,1.749,0.252,0.459,0.486,0.395,0.176,0.15
