"ID","Team.1","Team.2","Outcome","Team.1.Entries","Team.2.Entries","Team.1.Clutches","Team.2.Clutches","Team.1.Kills.mean","Team.2.Kills.mean","Team.1.Kills.sd","Team.2.Kills.sd","Team.1.Kills.max","Team.2.Kills.max","Team.1.Kills.min","Team.2.Kills.min","Team.1.Assists.mean","Team.2.Assists.mean","Team.1.Assists.sd","Team.2.Assists.sd","Team.1.Assists.max","Team.2.Assists.max","Team.1.Assists.min","Team.2.Assists.min","Team.1.HS.mean","Team.2.HS.mean","Team.1.HS.sd","Team.2.HS.sd","Team.1.HS.max","Team.2.HS.max","Team.1.HS.min","Team.2.HS.min","Team.1.Deaths.mean","Team.2.Deaths.mean","Team.1.Deaths.sd","Team.2.Deaths.sd","Team.1.Deaths.max","Team.2.Deaths.max","Team.1.Deaths.min","Team.2.Deaths.min","Team.1.KAST.mean","Team.2.KAST.mean","Team.1.KAST.sd","Team.2.KAST.sd","Team.1.KAST.max","Team.2.KAST.max","Team.1.KAST.min","Team.2.KAST.min","Team.1.K.D.Diff.mean","Team.2.K.D.Diff.mean","Team.1.K.D.Diff.sd","Team.2.K.D.Diff.sd","Team.1.K.D.Diff.max","Team.2.K.D.Diff.max","Team.1.K.D.Diff.min","Team.2.K.D.Diff.min","Team.1.ADR.mean","Team.2.ADR.mean","Team.1.ADR.sd","Team.2.ADR.sd","Team.1.ADR.max","Team.2.ADR.max","Team.1.ADR.min","Team.2.ADR.min","Team.1.FK.Diff.mean","Team.2.FK.Diff.mean","Team.1.FK.Diff.sd","Team.2.FK.Diff.sd","Team.1.FK.Diff.max","Team.2.FK.Diff.max","Team.1.FK.Diff.min","Team.2.FK.Diff.min","Team.1.Rating.mean","Team.2.Rating.mean","Team.1.Rating.sd","Team.2.Rating.sd","Team.1.Rating.max","Team.2.Rating.max","Team.1.Rating.min","Team.2.Rating.min","Team.1.KDA.mean","Team.2.KDA.mean","Team.1.KDA.sd","Team.2.KDA.sd","Team.1.KDA.max","Team.2.KDA.max","Team.1.KDA.min","Team.2.KDA.min","Team.1.HSpc.mean","Team.2.HSpc.mean","Team.1.HSpc.sd","Team.2.HSpc.sd","Team.1.HSpc.max","Team.2.HSpc.max","Team.1.HSpc.min","Team.2.HSpc.min"
2301860,"Gambit","CLG",2,13.333,14,1.333,1,18.067,19.6,5.133,6.057,24.333,26.333,11.333,12,3.067,3.867,2.486,2.295,7,7,0.667,1,7.667,6.4,2.945,2.86,11.333,10.333,4,3,19.667,18.067,2.449,1.971,23,20.667,17,15.667,0.657,0.707,0.065,0.069,0.742,0.795,0.573,0.626,-1.6,1.533,7.145,7.296,7.333,9.667,-11.333,-6.333,73.867,77.46,15.303,19.224,91.7,101.467,54.367,52.367,-0.133,0.133,2.053,2.785,2.333,3.333,-3,-3.667,0.986,1.111,0.217,0.323,1.167,1.443,0.65,0.747,1.116,1.362,0.357,0.468,1.539,1.926,0.621,0.853,0.436,0.346,0.12,0.156,0.587,0.54,0.314,0.174
2301861,"G2","Virtus.pro",2,11.333,13,1.333,2.333,15,17.733,4.311,4.948,20.333,24.667,9.333,12.667,3.2,3.6,1.783,2.332,5.333,6.333,1,1.333,6.467,7.2,3.011,3.839,10.667,11.667,3,2,17.8,15,1.677,1.576,19.333,17,15.333,13.333,0.628,0.725,0.095,0.063,0.753,0.795,0.505,0.631,-2.8,2.733,5.125,5.633,3.333,10.333,-8.667,-4,69.433,80.253,16.42,18.005,92.333,103.5,49.4,61.1,-0.333,0.333,2.143,1.67,2,2,-3.667,-2,0.923,1.201,0.237,0.266,1.22,1.537,0.637,0.9,1.072,1.521,0.327,0.474,1.461,2.16,0.68,0.9,0.428,0.404,0.136,0.186,0.604,0.577,0.255,0.119
2301868,"Natus Vincere","NIP",1,13.5,12,2,1,19.7,15.2,5.359,4.193,26.5,19,14,9,3.3,3,1.911,1.478,6,5,1,1.5,8.5,6.7,3.937,2.605,12,10.5,3.5,4.5,15.3,19.7,2.613,1.72,18,22,12,18,0.737,0.609,0.086,0.095,0.823,0.746,0.609,0.492,4.4,-4.5,7.007,4.894,14.5,1,-4,-11,81.37,69.3,15.314,13.123,102.1,82.6,66.1,49.8,0.3,-0.3,2.609,2.704,3.5,4,-2.5,-2.5,1.211,0.887,0.29,0.2,1.63,1.07,0.915,0.585,1.555,0.935,0.507,0.236,2.374,1.243,1.056,0.657,0.414,0.45,0.129,0.14,0.532,0.639,0.202,0.269
2301869,"Astralis","fnatic",1,13.5,10,2,0.5,18.6,14.1,5.264,3.542,26,19,12,9.5,3.9,3.3,2.059,1.238,6,5,1,2,7.4,5.5,3.914,1.792,12,7.5,3.5,3.5,14.1,18.6,1.696,1.222,16,20,12.5,17,0.757,0.598,0.078,0.088,0.857,0.714,0.679,0.479,4.5,-4.5,5.646,4.289,12.5,1,-2.5,-10.5,84.26,69.96,23.103,12.955,111.1,90.45,55.2,57.65,0.7,-0.7,2.388,2.153,4.5,1.5,-1,-4,1.287,0.844,0.326,0.207,1.71,1.16,0.855,0.6,1.702,0.937,0.526,0.208,2.389,1.214,1.038,0.665,0.391,0.395,0.17,0.112,0.656,0.562,0.244,0.272
2301870,"Liquid","CLG",1,16.5,8.5,2,0.5,18.5,15.2,4.347,5.262,25.5,24,15,11,4.2,2.7,1.58,1.568,6,4.5,2,0.5,7.9,5.6,1.733,1.994,10,7.5,5.5,3.5,15.3,18.8,2.747,1.38,17.5,21,11.5,17.5,0.753,0.596,0.1,0.122,0.846,0.789,0.594,0.48,3.2,-3.6,4.903,5.403,8,5,-2.5,-8,81.8,69.57,13.46,16.629,100.8,94.95,65.05,55.45,1.6,-1.7,2.437,2.334,4.5,1,-1.5,-4.5,1.25,0.876,0.213,0.219,1.545,1.21,1.02,0.675,1.664,0.947,0.496,0.251,2.281,1.368,1.071,0.74,0.447,0.409,0.134,0.195,0.634,0.683,0.288,0.209
2301871,"Luminosity","Virtus.pro",1,17.333,12.333,0.667,2,21.067,19.533,3.135,4.061,24.333,24.667,16.667,14.667,3.933,3.267,2.221,1.593,6.667,5,1.333,1,8.867,8.933,2.488,2.979,12,11.333,5.667,4.333,19.533,21.067,2.863,2.308,23.667,24,16.333,18.333,0.717,0.648,0.062,0.078,0.777,0.769,0.635,0.565,1.533,-1.533,5.104,4.702,7.667,4.667,-4,-8,78.573,72.933,10.333,11.379,91.933,86,67.4,60.933,1,-1,1.781,2.034,3,1.333,-1,-3.667,1.131,0.982,0.146,0.196,1.347,1.263,0.983,0.78,1.369,1.09,0.359,0.249,1.877,1.455,0.973,0.835,0.428,0.478,0.131,0.177,0.601,0.683,0.29,0.239
2301878,"Natus Vincere","Astralis",1,13,12.5,1.5,0,17.6,14.6,6.917,2.32,28.5,17.5,11,12,4.1,2.5,2.355,0.966,7,3.5,2,1.5,7.8,5.6,3.669,1.654,12.5,7.5,4,3.5,14.6,17.6,2.302,1.222,17.5,19.5,11.5,16.5,0.704,0.615,0.068,0.054,0.778,0.683,0.624,0.562,3,-3,6.439,2.769,11.5,-0.5,-3,-6.5,78.47,66.38,24.144,7.109,110.6,73.45,46.3,57.05,0.1,-0.1,1.837,2.313,2.5,3.5,-2.5,-2.5,1.2,0.841,0.291,0.099,1.605,0.93,0.84,0.68,1.541,0.97,0.401,0.135,2.032,1.086,1.012,0.791,0.432,0.411,0.082,0.141,0.543,0.558,0.342,0.222
2301879,"Liquid","Luminosity",2,17.5,17,2.5,1.5,21.2,25.2,6.331,6.988,28,32.5,13.5,16.5,4.2,5.2,1.312,2.224,6,7.5,2.5,2.5,8.1,9.9,3.389,3.615,13.5,15.5,4.5,6.5,25.3,21.2,2.125,2.951,28,25.5,23.5,18,0.632,0.748,0.047,0.055,0.695,0.812,0.58,0.667,-4.1,4,7.696,9.24,3.5,14,-14,-8,69.55,79.34,13.537,15.676,86.45,95.55,51.25,63.15,0.1,-0.1,3.164,2.309,5,2.5,-2.5,-2.5,0.926,1.158,0.22,0.237,1.18,1.42,0.66,0.83,1.015,1.483,0.29,0.384,1.362,1.92,0.66,0.979,0.385,0.401,0.131,0.113,0.569,0.547,0.239,0.256
2301885,"Natus Vincere","Luminosity",2,10,17,3.5,5,16.7,22.7,4.719,4.497,22,29,11.5,19,4.3,4.8,1.449,3.029,6.5,8,2.5,0.5,6.7,7.9,4.135,3.317,11.5,12.5,2,4.5,22.8,16.7,1.537,3.186,25,20.5,21.5,12.5,0.608,0.82,0.066,0.034,0.681,0.848,0.527,0.763,-6.1,6,4.44,5.493,-0.5,14,-11,0,67.31,91.08,17.842,20.724,91.15,112.95,44.5,60.15,-1.4,1.4,1.414,3.162,0,4,-3.5,-3.5,0.789,1.396,0.206,0.22,1.065,1.645,0.56,1.145,0.858,2.038,0.179,0.542,1.102,2.792,0.669,1.471,0.414,0.331,0.177,0.118,0.585,0.493,0.204,0.193
2301904,"Renegades","NRG",2,8,10,1,1,7.4,17,2.793,8.972,10,27,4,7,1.4,3.8,1.517,1.483,4,6,0,2,4,8.2,2.55,6.76,7,17,1,3,17.2,7.6,0.837,3.209,18,12,16,5,0.5,0.878,0.142,0.061,0.722,0.944,0.389,0.778,-9.8,9.4,2.28,10.139,-7,21,-12,-5,51.36,95.92,19.045,33.023,71.8,147.9,26.1,69.4,-0.4,0.4,1.14,2.074,1,3,-2,-2,0.536,1.58,0.163,0.556,0.74,2.25,0.34,0.83,0.507,3.13,0.199,1.621,0.778,5.6,0.312,1.083,0.515,0.444,0.25,0.189,0.875,0.63,0.2,0.231
